epoch,lr-Adam,step,test_loss,train_loss,val_loss
,0.005,49,,,
,0.005,99,,,
,0.005,149,,,
,0.005,199,,,
,0.005,249,,,
0,,249,,,60.779815673828125
0,,249,,130.16864013671875,
,0.005,299,,,
,0.005,349,,,
,0.005,399,,,
,0.005,449,,,
,0.005,499,,,
1,,499,,,58.84453582763672
1,,499,,57.71792984008789,
,0.005,549,,,
,0.005,599,,,
,0.005,649,,,
,0.005,699,,,
,0.005,749,,,
2,,749,,,57.99262619018555
2,,749,,57.04710388183594,
,0.005,799,,,
,0.005,849,,,
,0.005,899,,,
,0.005,949,,,
,0.005,999,,,
3,,999,,,57.568050384521484
3,,999,,56.267581939697266,
,0.005,1049,,,
,0.005,1099,,,
,0.005,1149,,,
,0.005,1199,,,
,0.005,1249,,,
4,,1249,,,65.1159439086914
4,,1249,,55.95438003540039,
,0.005,1299,,,
,0.005,1349,,,
,0.005,1399,,,
,0.005,1449,,,
,0.005,1499,,,
5,,1499,,,59.98450469970703
5,,1499,,55.74372482299805,
,0.005,1549,,,
,0.005,1599,,,
,0.005,1649,,,
,0.005,1699,,,
,0.005,1749,,,
6,,1749,,,61.39858627319336
6,,1749,,54.934818267822266,
,0.005,1799,,,
,0.005,1849,,,
,0.005,1899,,,
,0.005,1949,,,
,0.005,1999,,,
7,,1999,,,64.41515350341797
7,,1999,,55.1814079284668,
,0.005,2049,,,
,0.005,2099,,,
,0.005,2149,,,
,0.005,2199,,,
,0.005,2249,,,
8,,2249,,,57.88251876831055
8,,2249,,55.06600570678711,
,0.005,2299,,,
,0.005,2349,,,
,0.005,2399,,,
,0.005,2449,,,
,0.005,2499,,,
9,,2499,,,60.666194915771484
9,,2499,,54.510311126708984,
,0.005,2549,,,
,0.005,2599,,,
,0.005,2649,,,
,0.005,2699,,,
,0.005,2749,,,
10,,2749,,,64.48467254638672
10,,2749,,53.93572998046875,
,0.005,2799,,,
,0.005,2849,,,
,0.005,2899,,,
,0.005,2949,,,
,0.005,2999,,,
11,,2999,,,61.34213638305664
11,,2999,,53.85072708129883,
,0.005,3049,,,
,0.005,3099,,,
,0.005,3149,,,
,0.005,3199,,,
,0.005,3249,,,
12,,3249,,,56.90745544433594
12,,3249,,53.44416809082031,
,0.005,3299,,,
,0.005,3349,,,
,0.005,3399,,,
,0.005,3449,,,
,0.005,3499,,,
13,,3499,,,62.550052642822266
13,,3499,,53.1474494934082,
,0.005,3549,,,
,0.005,3599,,,
,0.005,3649,,,
,0.005,3699,,,
,0.005,3749,,,
14,,3749,,,73.13650512695312
14,,3749,,53.22626876831055,
,0.005,3799,,,
,0.005,3849,,,
,0.005,3899,,,
,0.005,3949,,,
,0.005,3999,,,
15,,3999,,,62.03388595581055
15,,3999,,52.8953857421875,
,0.005,4049,,,
,0.005,4099,,,
,0.005,4149,,,
,0.005,4199,,,
,0.005,4249,,,
16,,4249,,,59.85092544555664
16,,4249,,53.03357696533203,
,0.005,4299,,,
,0.005,4349,,,
,0.005,4399,,,
,0.005,4449,,,
,0.005,4499,,,
17,,4499,,,55.65489196777344
17,,4499,,52.90838623046875,
,0.005,4549,,,
,0.005,4599,,,
,0.005,4649,,,
,0.005,4699,,,
,0.005,4749,,,
18,,4749,,,54.43255615234375
18,,4749,,52.368106842041016,
,0.005,4799,,,
,0.005,4849,,,
,0.005,4899,,,
,0.005,4949,,,
,0.005,4999,,,
19,,4999,,,60.683780670166016
19,,4999,,52.29127883911133,
,0.005,5049,,,
,0.005,5099,,,
,0.005,5149,,,
,0.005,5199,,,
,0.005,5249,,,
20,,5249,,,53.691856384277344
20,,5249,,52.638370513916016,
,0.005,5299,,,
,0.005,5349,,,
,0.005,5399,,,
,0.005,5449,,,
,0.005,5499,,,
21,,5499,,,56.77421569824219
21,,5499,,52.828033447265625,
,0.005,5549,,,
,0.005,5599,,,
,0.005,5649,,,
,0.005,5699,,,
,0.005,5749,,,
22,,5749,,,60.01546859741211
22,,5749,,52.301578521728516,
,0.005,5799,,,
,0.005,5849,,,
,0.005,5899,,,
,0.005,5949,,,
,0.005,5999,,,
23,,5999,,,64.51676940917969
23,,5999,,52.01485824584961,
,0.005,6049,,,
,0.005,6099,,,
,0.005,6149,,,
,0.005,6199,,,
,0.005,6249,,,
24,,6249,,,170.21499633789062
24,,6249,,52.11934280395508,
,0.005,6299,,,
,0.005,6349,,,
,0.005,6399,,,
,0.005,6449,,,
,0.005,6499,,,
25,,6499,,,60.26168441772461
25,,6499,,52.10151290893555,
,0.005,6549,,,
,0.005,6599,,,
,0.005,6649,,,
,0.005,6699,,,
,0.005,6749,,,
26,,6749,,,74.46410369873047
26,,6749,,51.424644470214844,
,0.005,6799,,,
,0.005,6849,,,
,0.005,6899,,,
,0.005,6949,,,
,0.005,6999,,,
27,,6999,,,69.394775390625
27,,6999,,51.962825775146484,
,0.005,7049,,,
,0.005,7099,,,
,0.005,7149,,,
,0.005,7199,,,
,0.005,7249,,,
28,,7249,,,57.81047821044922
28,,7249,,51.89159393310547,
,0.005,7299,,,
,0.005,7349,,,
,0.005,7399,,,
,0.005,7449,,,
,0.005,7499,,,
29,,7499,,,68.82537841796875
29,,7499,,51.84746170043945,
,0.005,7549,,,
,0.005,7599,,,
,0.005,7649,,,
,0.005,7699,,,
,0.005,7749,,,
30,,7749,,,64.19515991210938
30,,7749,,52.392642974853516,
31,,7750,64.19515991210938,,
