epoch,lr-Adam,step,train_loss,val_loss
,0.0005,49,,
,0.0005,99,,
,0.0005,149,,
,0.0005,199,,
,0.0005,249,,
,0.0005,299,,
,0.0005,349,,
,0.0005,399,,
,0.0005,449,,
,0.0005,499,,
,0.0005,549,,
,0.0005,599,,
,0.0005,649,,
,0.0005,699,,
,0.0005,749,,
,0.0005,799,,
,0.0005,849,,
,0.0005,899,,
,0.0005,949,,
,0.0005,999,,
,0.0005,1049,,
,0.0005,1099,,
,0.0005,1149,,
,0.0005,1199,,
,0.0005,1249,,
0,,1249,,41.423641204833984
0,,1249,29.149049758911133,
,0.0005,1299,,
,0.0005,1349,,
,0.0005,1399,,
,0.0005,1449,,
,0.0005,1499,,
,0.0005,1549,,
,0.0005,1599,,
,0.0005,1649,,
,0.0005,1699,,
,0.0005,1749,,
,0.0005,1799,,
,0.0005,1849,,
,0.0005,1899,,
,0.0005,1949,,
,0.0005,1999,,
,0.0005,2049,,
,0.0005,2099,,
,0.0005,2149,,
,0.0005,2199,,
,0.0005,2249,,
,0.0005,2299,,
,0.0005,2349,,
,0.0005,2399,,
,0.0005,2449,,
,0.0005,2499,,
1,,2499,,40.20357894897461
1,,2499,29.105012893676758,
,0.0005,2549,,
,0.0005,2599,,
,0.0005,2649,,
,0.0005,2699,,
,0.0005,2749,,
,0.0005,2799,,
,0.0005,2849,,
,0.0005,2899,,
,0.0005,2949,,
,0.0005,2999,,
,0.0005,3049,,
,0.0005,3099,,
,0.0005,3149,,
,0.0005,3199,,
,0.0005,3249,,
,0.0005,3299,,
,0.0005,3349,,
,0.0005,3399,,
,0.0005,3449,,
,0.0005,3499,,
,0.0005,3549,,
,0.0005,3599,,
,0.0005,3649,,
,0.0005,3699,,
,0.0005,3749,,
2,,3749,,41.26655197143555
2,,3749,28.721477508544922,
,0.0005,3799,,
,0.0005,3849,,
,0.0005,3899,,
,0.0005,3949,,
,0.0005,3999,,
,0.0005,4049,,
,0.0005,4099,,
,0.0005,4149,,
,0.0005,4199,,
,0.0005,4249,,
,0.0005,4299,,
,0.0005,4349,,
,0.0005,4399,,
,0.0005,4449,,
,0.0005,4499,,
,0.0005,4549,,
,0.0005,4599,,
,0.0005,4649,,
,0.0005,4699,,
,0.0005,4749,,
,0.0005,4799,,
,0.0005,4849,,
,0.0005,4899,,
,0.0005,4949,,
,0.0005,4999,,
3,,4999,,31.86250877380371
3,,4999,28.743885040283203,
,0.0005,5049,,
,0.0005,5099,,
,0.0005,5149,,
,0.0005,5199,,
,0.0005,5249,,
,0.0005,5299,,
,0.0005,5349,,
,0.0005,5399,,
,0.0005,5449,,
,0.0005,5499,,
,0.0005,5549,,
,0.0005,5599,,
,0.0005,5649,,
,0.0005,5699,,
,0.0005,5749,,
,0.0005,5799,,
,0.0005,5849,,
,0.0005,5899,,
,0.0005,5949,,
,0.0005,5999,,
,0.0005,6049,,
,0.0005,6099,,
,0.0005,6149,,
,0.0005,6199,,
,0.0005,6249,,
4,,6249,,40.37681198120117
4,,6249,28.362714767456055,
,0.0005,6299,,
,0.0005,6349,,
,0.0005,6399,,
,0.0005,6449,,
,0.0005,6499,,
,0.0005,6549,,
,0.0005,6599,,
,0.0005,6649,,
,0.0005,6699,,
,0.0005,6749,,
,0.0005,6799,,
,0.0005,6849,,
,0.0005,6899,,
,0.0005,6949,,
,0.0005,6999,,
,0.0005,7049,,
,0.0005,7099,,
,0.0005,7149,,
,0.0005,7199,,
,0.0005,7249,,
,0.0005,7299,,
,0.0005,7349,,
,0.0005,7399,,
,0.0005,7449,,
,0.0005,7499,,
5,,7499,,37.244972229003906
5,,7499,28.388019561767578,
,0.0005,7549,,
,0.0005,7599,,
,0.0005,7649,,
,0.0005,7699,,
,0.0005,7749,,
,0.0005,7799,,
,0.0005,7849,,
,0.0005,7899,,
,0.0005,7949,,
,0.0005,7999,,
,0.0005,8049,,
,0.0005,8099,,
,0.0005,8149,,
,0.0005,8199,,
,0.0005,8249,,
,0.0005,8299,,
